name,team,byeWeek,value
Harrison Butker,KC,12,$1
Justin Tucker,BAL,8,$1
Tyler Bass,BUF,7,$1
Greg Zuerlein,DAL,7,$1
Jason Sanders,MIA,14,$1
Jason Myers,SEA,9,$1
Ryan Succop,TB,9,$1
Younghoe Koo,ATL,6,$1
Mason Crosby,GB,13,$1
Robbie Gould,SF,6,$1
Rodrigo Blankenship,IND,14,$1
Cody Parkey,CLE,13,$1
Daniel Carlson,LV,8,$1
Graham Gano,NYG,10,$1
Michael Badgley,LAC,7,$0
Tucker McCann,TEN,13,$0
Matt Prater,ARI,12,$0
Matt Gay,LAR,11,$0
Ka'imi Fairbairn,HOU,10,$0
Cairo Santos,CHI,10,$0
Nick Folk,NE,14,$0
Greg Joseph,MIN,7,$0
Brandon McManus,DEN,11,$0
Evan McPherson,CIN,10,$0
Chris Boswell,PIT,7,$0
Joey Slye,CAR,13,$0
Dustin Hopkins,WAS,9,$0
Wil Lutz,NO,6,$0
Randy Bullock,DET,9,$0
Josh Lambo,JAC,7,$0
Jake Elliott,PHI,14,$0
Austin Seibert,CIN,10,$0
Stephen Gostkowski,FA,0,$0
Zane Gonzalez,DET,9,$0
Dan Bailey,FA,0,$0
