name,team,byeWeek,value
Josh Allen,BUF,7,$68
Patrick Mahomes II,KC,12,$67
Kyler Murray,ARI,12,$60
Lamar Jackson,BAL,8,$58
Dak Prescott,DAL,7,$55
Aaron Rodgers,GB,13,$53
Russell Wilson,SEA,9,$52
Justin Herbert,LAC,7,$52
Tom Brady,TB,9,$49
Ryan Tannehill,TEN,13,$43
Jalen Hurts,PHI,14,$42
Joe Burrow,CIN,10,$37
Matthew Stafford,LAR,11,$36
Trevor Lawrence,JAC,7,$33
Kirk Cousins,MIN,7,$33
Matt Ryan,ATL,6,$32
Tua Tagovailoa,MIA,14,$30
Derek Carr,LV,8,$30
Baker Mayfield,CLE,13,$30
Ben Roethlisberger,PIT,7,$27
Ryan Fitzpatrick,WAS,9,$27
Daniel Jones,NYG,10,$25
Sam Darnold,CAR,13,$24
Zach Wilson,NYJ,6,$24
Jared Goff,DET,9,$20
Justin Fields,CHI,10,$16
Trey Lance,SF,6,$13
Deshaun Watson,HOU,10,$10
Cam Newton,NE,14,$8
Carson Wentz,IND,14,$8
Jameis Winston,NO,6,$5
Teddy Bridgewater,DEN,11,$1
Taysom Hill,NO,6,$1
Tyrod Taylor,HOU,10,$1
Drew Lock,DEN,11,$1
Mac Jones,NE,14,$1
Jimmy Garoppolo,SF,6,$1
Davis Mills,HOU,10,$1
Jacob Eason,IND,14,$1
Andy Dalton,CHI,10,$1
Taylor Heinicke,WAS,9,$1
