name,team,byeWeek,value
Christian McCaffrey,CAR,13,$94
Dalvin Cook,MIN,7,$83
Alvin Kamara,NO,6,$77
Derrick Henry,TEN,13,$68
Austin Ekeler,LAC,7,$66
Saquon Barkley,NYG,10,$65
Ezekiel Elliott,DAL,7,$63
Aaron Jones,GB,13,$63
Jonathan Taylor,IND,14,$59
Joe Mixon,CIN,10,$58
Najee Harris,PIT,7,$57
Nick Chubb,CLE,13,$55
Antonio Gibson,WAS,9,$53
D'Andre Swift,DET,9,$51
Clyde Edwards-Helaire,KC,12,$50
Chris Carson,SEA,9,$48
David Montgomery,CHI,10,$46
Miles Sanders,PHI,14,$45
J.K. Dobbins,BAL,8,$44
Myles Gaskin,MIA,14,$42
Josh Jacobs,LV,8,$42
Mike Davis,ATL,6,$40
Darrell Henderson,LAR,11,$40
Chase Edmonds,ARI,12,$38
Travis Etienne,JAC,7,$38
Kareem Hunt,CLE,13,$30
James Robinson,JAC,7,$24
David Johnson,HOU,10,$24
Javonte Williams,DEN,11,$23
Raheem Mostert,SF,6,$22
Leonard Fournette,TB,9,$22
Damien Harris,NE,14,$19
Michael Carter,NYJ,6,$17
Zack Moss,BUF,7,$17
Kenyan Drake,LV,8,$17
Melvin Gordon III,DEN,11,$16
J.D. McKissic,WAS,9,$16
James Conner,ARI,12,$16
Jamaal Williams,DET,9,$15
James White,NE,14,$15
Nyheim Hines,IND,14,$14
Trey Sermon,SF,6,$13
Latavius Murray,NO,6,$13
Ronald Jones II,TB,9,$13
Tony Pollard,DAL,7,$12
Devin Singletary,BUF,7,$12
Gus Edwards,BAL,8,$11
Tarik Cohen,CHI,10,$11
AJ Dillon,GB,13,$10
Tevin Coleman,NYJ,6,$6
Alexander Mattison,MIN,7,$6
Giovani Bernard,TB,9,$5
Phillip Lindsay,HOU,10,$5
Darrel Williams,KC,12,$4
Rashaad Penny,SEA,9,$4
Damien Williams,CHI,10,$3
Xavier Jones,LAR,11,$3
Ty Johnson,NYJ,6,$2
Boston Scott,PHI,14,$2
Darrynton Evans,TEN,13,$2
Sony Michel,NE,14,$2
Malcolm Brown,MIA,14,$2
Joshua Kelley,LAC,7,$1
Salvon Ahmed,MIA,14,$1
Qadree Ollison,ATL,6,$1
Rex Burkhead,HOU,10,$1
Kyle Juszczyk,SF,6,$1
Justin Jackson,LAC,7,$0
Marlon Mack,IND,14,$0
Devontae Booker,NYG,10,$0
DeeJay Dallas,SEA,9,$0
Jake Funk,LAR,11,$0
Jeff Wilson Jr.,SF,6,$0
Chuba Hubbard,CAR,13,$0
Mark Ingram II,HOU,10,$0
Kenneth Gainwell,PHI,14,$0
Rhamondre Stevenson,NE,14,$0
Wayne Gallman,SF,6,$0
Larry Rountree III,LAC,7,$0
Trayveon Williams,CIN,10,$0
Brian Hill,TEN,13,$0
Jalen Richard,LV,8,$0
Samaje Perine,CIN,10,$0
Mike Boone,DEN,11,$0
Javian Hawkins,ATL,6,$0
Benny Snell Jr.,PIT,7,$0
Matt Breida,BUF,7,$0
Peyton Barber,WAS,9,$0
Carlos Hyde,JAC,7,$0
Johnny Stanton,CLE,13,$0
Brandon Bolden,NE,14,$0
Jermar Jefferson,DET,9,$0
Elijah Mitchell,SF,6,$0
Jaylen Samuels,PIT,7,$0
Raymond Calais,LAR,11,$0
La'Mical Perine,NYJ,6,$0
Jerick McKinnon,KC,12,$0
Kerryon Johnson,PHI,14,$0
Anthony McFarland Jr.,PIT,7,$0
LeVeon Bell,FA,0,$0
Kalen Ballage,PIT,7,$0
Jordan Howard,PHI,14,$0
Justice Hill,BAL,8,$0
Todd Gurley II,FA,0,$0
Duke Johnson Jr.,FA,0,$0
Ito Smith,ARI,12,$0
Ke'Shawn Vaughn,TB,9,$0
Eno Benjamin,ARI,12,$0
