name,team,byeWeek,value
Travis Kelce,KC,12,$46
Darren Waller,LV,8,$35
George Kittle,SF,6,$35
Mark Andrews,BAL,8,$20
T.J. Hockenson,DET,9,$16
Kyle Pitts,ATL,6,$16
Dallas Goedert,PHI,14,$9
Tyler Higbee,LAR,11,$8
Noah Fant,DEN,11,$7
Logan Thomas,WAS,9,$7
Robert Tonyan,GB,13,$7
Mike Gesicki,MIA,14,$5
Irv Smith Jr.,MIN,7,$4
Eric Ebron,PIT,7,$3
Evan Engram,NYG,10,$2
Hunter Henry,NE,14,$2
Jonnu Smith,NE,14,$2
Jared Cook,LAC,7,$2
Blake Jarwin,DAL,7,$1
Adam Trautman,NO,6,$1
Rob Gronkowski,TB,9,$1
Anthony Firkser,TEN,13,$0
Austin Hooper,CLE,13,$0
Cole Kmet,CHI,10,$0
Zach Ertz,PHI,14,$0
Gerald Everett,SEA,9,$0
Jordan Akins,HOU,10,$0
Hayden Hurst,ATL,6,$0
C.J. Uzomah,CIN,10,$0
Dawson Knox,BUF,7,$0
Chris Herndon IV,NYJ,6,$0
Jack Doyle,IND,14,$0
Will Dissly,SEA,9,$0
Mo Alie-Cox,IND,14,$0
Donald Parham Jr.,LAC,7,$0
O.J. Howard,TB,9,$0
Dan Arnold,CAR,13,$0
Jacob Hollister,BUF,7,$0
Tyler Conklin,MIN,7,$0
David Njoku,CLE,13,$0
Jimmy Graham,CHI,10,$0
Dalton Schultz,DAL,7,$0
Nick Boyle,BAL,8,$0
Maxx Williams,ARI,12,$0
Geoff Swaim,TEN,13,$0
Drew Sample,CIN,10,$0
Kyle Rudolph,NYG,10,$0
Cameron Brate,TB,9,$0
James O'Shaughnessy,JAC,7,$0
Ian Thomas,CAR,13,$0
Pat Freiermuth,PIT,7,$0
