name,team,byeWeek,value
Tyreek Hill,KC,12,$51
Davante Adams,GB,13,$50
Stefon Diggs,BUF,7,$47
DeAndre Hopkins,ARI,12,$46
Calvin Ridley,ATL,6,$41
Keenan Allen,LAC,7,$36
Justin Jefferson,MIN,7,$35
D.K. Metcalf,SEA,9,$34
A.J. Brown,TEN,13,$32
Allen Robinson II,CHI,10,$30
Robert Woods,LAR,11,$29
Terry McLaurin,WAS,9,$28
Amari Cooper,DAL,7,$27
Tyler Lockett,SEA,9,$25
Cooper Kupp,LAR,11,$24
Mike Evans,TB,9,$24
CeeDee Lamb,DAL,7,$23
Adam Thielen,MIN,7,$23
D.J. Moore,CAR,13,$22
Julio Jones,TEN,13,$21
Chris Godwin,TB,9,$21
Diontae Johnson,PIT,7,$20
Tee Higgins,CIN,10,$18
Courtland Sutton,DEN,11,$17
JuJu Smith-Schuster,PIT,7,$16
Odell Beckham Jr.,CLE,13,$15
Kenny Golladay,NYG,10,$15
Ja'Marr Chase,CIN,10,$15
D.J. Chark Jr.,JAC,7,$15
Brandon Aiyuk,SF,6,$14
Brandin Cooks,HOU,10,$14
Robby Anderson,CAR,13,$14
Tyler Boyd,CIN,10,$13
Chase Claypool,PIT,7,$12
Deebo Samuel,SF,6,$11
Jerry Jeudy,DEN,11,$10
Jarvis Landry,CLE,13,$9
Michael Thomas,NO,6,$9
Michael Gallup,DAL,7,$9
Laviska Shenault Jr.,JAC,7,$8
DeVante Parker,MIA,14,$8
Curtis Samuel,WAS,9,$7
Marquise Brown,BAL,8,$7
Will Fuller V,MIA,14,$7
DeVonta Smith,PHI,14,$6
Corey Davis,NYJ,6,$6
Mike Williams,LAC,7,$6
T.Y. Hilton,IND,14,$6
Darnell Mooney,CHI,10,$4
Marvin Jones Jr.,JAC,7,$4
Antonio Brown,TB,9,$3
Cole Beasley,BUF,7,$3
Russell Gage,ATL,6,$3
Jaylen Waddle,MIA,14,$2
Mecole Hardman,KC,12,$2
Emmanuel Sanders,BUF,7,$2
Breshad Perriman,DET,9,$2
Michael Pittman Jr.,IND,14,$2
Tyrell Williams,DET,9,$2
Henry Ruggs III,LV,8,$2
Jalen Reagor,PHI,14,$1
Nelson Agholor,NE,14,$1
Elijah Moore,NYJ,6,$1
Sterling Shepard,NYG,10,$1
Tre'Quan Smith,NO,6,$0
Gabriel Davis,BUF,7,$0
A.J. Green,ARI,12,$0
Randall Cobb,GB,13,$0
Jamison Crowder,NYJ,6,$0
Christian Kirk,ARI,12,$0
Rondale Moore,ARI,12,$0
John Brown,LV,8,$0
Rashod Bateman,BAL,8,$0
Parris Campbell,IND,14,$0
Terrace Marshall Jr.,CAR,13,$0
Darius Slayton,NYG,10,$0
Allen Lazard,GB,13,$0
Jakobi Meyers,NE,14,$0
DeSean Jackson,LAR,11,$0
Hunter Renfrow,LV,8,$0
Anthony Miller,HOU,10,$0
Van Jefferson,LAR,11,$0
Josh Reynolds,TEN,13,$0
Denzel Mims,NYJ,6,$0
Keelan Cole Sr.,NYJ,6,$0
Marquez Callaway,NO,6,$0
Chris Conley,HOU,10,$0
Amon-Ra St. Brown,DET,9,$0
Sammy Watkins,BAL,8,$0
D'Wayne Eskridge,SEA,9,$0
James Washington,PIT,7,$0
Geronimo Allison,DET,9,$0
Demarcus Robinson,KC,12,$0
Marquez Valdes-Scantling,GB,13,$0
Rashard Higgins,CLE,13,$0
Nico Collins,HOU,10,$0
Josh Palmer,LAC,7,$0
Zach Pascal,IND,14,$0
Kendrick Bourne,NE,14,$0
KJ Hamler,DEN,11,$0
Jalen Guyton,LAC,7,$0
Keke Coutee,HOU,10,$0
Kadarius Toney,NYG,10,$0
Tim Patrick,DEN,11,$0
Mohamed Sanu,SF,6,$0
Olamide Zaccheaus,ATL,6,$0
Bryan Edwards,LV,8,$0
Deonte Harris,NO,6,$0
Preston Williams,MIA,14,$0
Adam Humphries,WAS,9,$0
Damiere Byrd,CHI,10,$0
Tyron Johnson,LAC,7,$0
Richie James Jr.,SF,6,$0
Quintez Cephus,DET,9,$0
Byron Pringle,KC,12,$0
Dyami Brown,WAS,9,$0
Travis Fulgham,PHI,14,$0
Tutu Atwell,LAR,11,$0
Auden Tate,CIN,10,$0
Isaiah McKenzie,BUF,7,$0
Scotty Miller,TB,9,$0
Isaiah Coulter,HOU,10,$0
Amari Rodgers,GB,13,$0
N'Keal Harry,NE,14,$0
Donovan Peoples-Jones,CLE,13,$0
Greg Ward,PHI,14,$0
Andy Isabella,ARI,12,$0
Miles Boykin,BAL,8,$0
